name,year,team,position,specific_position,rating,is_fired,is_promoted,is_assistant_hc,is_interim_hc,is_interim_coordinator
Frank Scelfo,2013,Jaguars,Position,Quarterbacks Coach,5,,,,,
Jerry Sullivan,2013,Jaguars,Position,Wide Receivers Coach,5,,,,,
George Yarno,2013,Jaguars,Position,Offensive Line Coach,5,,,,,
Terry Richardson,2013,Jaguars,Position,Running Backs Coach,5,,,,,
Ron Middleton,2013,Jaguars,Position,Tight Ends Coach,5,,,,,
Tony Sorrentino,2013,Jaguars,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Todd Wash,2013,Jaguars,Position,Defensive Line Coach,5,,,,,
Mark Duffner,2013,Jaguars,Position,Linebackers Coach,5,,,,,
DeWayne Walker,2013,Jaguars,Position,Defensive Backs Coach,5,,,,,
Gus Bradley,2014,Jaguars,Head Coach,Head Coach,10,,,,,
Jedd Fisch,2014,Jaguars,Coordinator,Offensive Coordinator,7.5,,,,,
Bob Babich,2014,Jaguars,Coordinator,Defensive Coordinator,7.5,,,,,
Mike Mallory,2014,Jaguars,Coordinator,Special Teams Coordinator,7.5,,,,,
Frank Scelfo,2014,Jaguars,Position,Quarterbacks Coach,5,,,,,
Jerry Sullivan,2014,Jaguars,Position,Wide Receivers Coach,5,,,,,
Terry Richardson,2014,Jaguars,Position,Running Backs Coach,5,,,,,
Ron Middleton,2014,Jaguars,Position,Tight Ends Coach,5,,,,,
Chris O'Hara,2014,Jaguars,Position,Offensive Coaching Associate,5,,,,,
Todd Wash,2014,Jaguars,Position,Defensive Line Coach,5,,,,,
Robert Saleh,2014,Jaguars,Position,Linebackers Coach,5,,,,,
DeWayne Walker,2014,Jaguars,Position,Defensive Backs Coach,5,,,,,
Dan Shamash,2014,Jaguars,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Tony Sorrentino,2014,Jaguars,Quality Control,Quality Control Coach,2.5,,,,,
Todd Haley,2010,Chiefs,Head Coach,Head Coach,10,,,,,
Maurice Carthon,2010,Chiefs,Coordinator,Assistant Head Coach,7.5,,,,,
Charlie Weis,2010,Chiefs,Coordinator,Offensive Coordinator,7.5,,,,,
Romeo Crennel,2010,Chiefs,Coordinator,Defensive Coordinator,7.5,,,,,
Richie Anderson,2010,Chiefs,Position,Wide Receivers Coach,5,,,,,
Bill Muir,2010,Chiefs,Position,Offensive Line Coach,5,,,,,
Bernie Parmalee,2010,Chiefs,Position,Tight Ends Coach,5,,,,,
Nick Sirianni,2010,Chiefs,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Anthony Pleasant,2010,Chiefs,Position,Defensive Line Coach,5,,,,,
Gary Gibbs,2010,Chiefs,Position,Linebackers Coach,5,,,,,
Emmitt Thomas,2010,Chiefs,Position,Defensive Backs Coach,5,,,,,
Todd Haley,2011,Chiefs,Head Coach,Head Coach,10,1,,,,
Maurice Carthon,2011,Chiefs,Coordinator,Assistant Head Coach,7.5,,,,,
Bill Muir,2011,Chiefs,Coordinator,Offensive Coordinator,7.5,,,,,
Romeo Crennel,2011,Chiefs,Coordinator,Defensive Coordinator,7.5,,1,,1,
Jim Zorn,2011,Chiefs,Position,Quarterbacks Coach,5,,,,,
Richie Anderson,2011,Chiefs,Position,Wide Receivers Coach,5,,,,,
Bernie Parmalee,2011,Chiefs,Position,Tight Ends Coach,5,,,,,
Nick Sirianni,2011,Chiefs,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Anthony Pleasant,2011,Chiefs,Position,Defensive Line Coach,5,,,,,
Gary Gibbs,2011,Chiefs,Position,Linebackers Coach,5,,,,,
Emmitt Thomas,2011,Chiefs,Position,Defensive Backs Coach,5,,,,,
Romeo Crennel,2012,Chiefs,Head Coach,Head Coach,10,,,,,
Maurice Carthon,2012,Chiefs,Coordinator,Assistant Head Coach,7.5,,,,,
Brian Daboll,2012,Chiefs,Coordinator,Offensive Coordinator,7.5,,,,,
Gary Gibbs,2012,Chiefs,Coordinator,Interim Defensive Coordinator,7.5,,1,,,1
Jim Zorn,2012,Chiefs,Position,Quarterbacks Coach,5,,,,,
Nick Sirianni,2012,Chiefs,Position,Wide Receivers Coach,5,,,,,
"Jack Bicknell, Jr.",2012,Chiefs,Position,Offensive Line Coach,5,,,,,
Bernie Parmalee,2012,Chiefs,Position,Tight Ends Coach,5,,,,,
Jim Bob Cooter,2012,Chiefs,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Anthony Pleasant,2012,Chiefs,Position,Defensive Line Coach,5,,,,,
Emmitt Thomas,2012,Chiefs,Position,Defensive Backs Coach,5,,,,,
Otis Smith,2012,Chiefs,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Andy Reid,2013,Chiefs,Head Coach,Head Coach,10,,,,,
Doug Pederson,2013,Chiefs,Coordinator,Offensive Coordinator,7.5,,,,,
Bob Sutton,2013,Chiefs,Coordinator,Defensive Coordinator,7.5,,,,,
Dave Toub,2013,Chiefs,Coordinator,Special Teams Coordinator,7.5,,,,,
Matt Nagy,2013,Chiefs,Position,Quarterbacks Coach,5,,,,,
David Culley,2013,Chiefs,Position,Wide Receivers Coach,5,,,1,,
Andy Heck,2013,Chiefs,Position,Offensive Line Coach,5,,,,,
Eric Bieniemy,2013,Chiefs,Position,Running Backs Coach,5,,,,,
Tom Melvin,2013,Chiefs,Position,Tight Ends Coach,5,,,,,
Tommy Brasher,2013,Chiefs,Position,Defensive Line Coach,5,,,,,
Gary Gibbs,2013,Chiefs,Position,Linebackers Coach,5,,,,,
Emmitt Thomas,2013,Chiefs,Position,Defensive Backs Coach,5,,,,,
Al Harris,2013,Chiefs,Position,Secondary Coach,5,,,,,
Andy Reid,2014,Chiefs,Head Coach,Head Coach,10,,,,,
Doug Pederson,2014,Chiefs,Coordinator,Offensive Coordinator,7.5,,,,,
Bob Sutton,2014,Chiefs,Coordinator,Defensive Coordinator,7.5,,,,,
Matt Nagy,2014,Chiefs,Position,Quarterbacks Coach,5,,,,,
David Culley,2014,Chiefs,Position,Wide Receivers Coach,5,,,1,,
Andy Heck,2014,Chiefs,Position,Offensive Line Coach,5,,,,,
Eric Bieniemy,2014,Chiefs,Position,Running Backs Coach,5,,,,,
Tom Melvin,2014,Chiefs,Position,Tight Ends Coach,5,,,,,
Tommy Brasher,2014,Chiefs,Position,Defensive Line Coach,5,,,,,
Gary Gibbs,2014,Chiefs,Position,Linebackers Coach,5,,,,,
Emmitt Thomas,2014,Chiefs,Position,Defensive Backs Coach,5,,,,,
Britt Reid,2014,Chiefs,Quality Control,Quality Control Coach,2.5,,,,,
Corey Matthaei,2014,Chiefs,Quality Control,Quality Control Coach,2.5,,,,,
Mark DeLeone,2014,Chiefs,Quality Control,Quality Control Coach,2.5,,,,,
Norv Turner,2010,Chargers,Head Coach,Head Coach,10,,,,,
Clarence Shelmon,2010,Chargers,Coordinator,Offensive Coordinator,7.5,,,,,
Ron Rivera,2010,Chargers,Coordinator,Defensive Coordinator,7.5,,,,,
John Ramsdell,2010,Chargers,Position,Quarterbacks Coach,5,,,,,
Charlie Joiner,2010,Chargers,Position,Wide Receivers Coach,5,,,,,
Hal Hunter,2010,Chargers,Position,Offensive Line Coach,5,,,,,
Mike Sullivan,2010,Chargers,Position,Offensive Line Coach,5,,,,,
Ollie Wilson,2010,Chargers,Position,Running Backs Coach,5,,,,,
Rob Chudzinski,2010,Chargers,Position,Tight Ends Coach,5,,,1,,
Don Johnson,2010,Chargers,Position,Defensive Line Coach,5,,,,,
John Pagano,2010,Chargers,Position,Linebackers Coach,5,,,,,
Steve Wilks,2010,Chargers,Position,Secondary Coach,5,,,,,
Norv Turner,2011,Chargers,Head Coach,Head Coach,10,,,,,
Clarence Shelmon,2011,Chargers,Coordinator,Offensive Coordinator,7.5,,,,,
Greg Manusky,2011,Chargers,Coordinator,Defensive Coordinator,7.5,,,,,
John Ramsdell,2011,Chargers,Position,Quarterbacks Coach,5,,,,,
Charlie Joiner,2011,Chargers,Position,Wide Receivers Coach,5,,,,,
Hal Hunter,2011,Chargers,Position,Offensive Line Coach,5,,,,,
Mike Sullivan,2011,Chargers,Position,Offensive Line Coach,5,,,,,
Ollie Wilson,2011,Chargers,Position,Running Backs Coach,5,,,,,
Jason Michael,2011,Chargers,Position,Tight Ends Coach,5,,,,,
Don Johnson,2011,Chargers,Position,Defensive Line Coach,5,,,,,
John Pagano,2011,Chargers,Position,Linebackers Coach,5,,,,,
Steve Wilks,2011,Chargers,Position,Secondary Coach,5,,,1,,
Norv Turner,2012,Chargers,Head Coach,Head Coach,10,,,,,
Richard Bisaccia,2012,Chargers,Coordinator,Assistant Head Coach-Special Teams,7.5,,,,,
Hal Hunter,2012,Chargers,Coordinator,Offensive Coordinator,7.5,,,,,
John Pagano,2012,Chargers,Coordinator,Defensive Coordinator,7.5,,,,,
John Ramsdell,2012,Chargers,Position,Quarterbacks Coach,5,,,,,
Charlie Joiner,2012,Chargers,Position,Wide Receivers Coach,5,,,,,
Mike Sullivan,2012,Chargers,Position,Offensive Line Coach,5,,,,,
Ollie Wilson,2012,Chargers,Position,Running Backs Coach,5,,,,,
Jason Michael,2012,Chargers,Position,Tight Ends Coach,5,,,,,
Don Johnson,2012,Chargers,Position,Defensive Line Coach,5,,,,,
Joe Barry,2012,Chargers,Position,Linebackers Coach,5,,,,,
Ron Meeks,2012,Chargers,Position,Secondary Coach,5,,,,,
Mike McCoy,2013,Chargers,Head Coach,Head Coach,10,,,,,
Ken Whisenhunt,2013,Chargers,Coordinator,Offensive Coordinator,7.5,,,,,
John Pagano,2013,Chargers,Coordinator,Defensive Coordinator,7.5,,,,,
Frank Reich,2013,Chargers,Position,Quarterbacks Coach,5,,,,,
Fred Graves,2013,Chargers,Position,Wide Receivers Coach,5,,,,,
Joe D'Alessandris,2013,Chargers,Position,Offensive Line Coach,5,,,,,
Ollie Wilson,2013,Chargers,Position,Running Backs Coach,5,,,,,
Jason Michael,2013,Chargers,Position,Tight Ends Coach,5,,,,,
Don Johnson,2013,Chargers,Position,Defensive Line Coach,5,,,,,
Joe Barry,2013,Chargers,Position,Linebackers Coach,5,,,,,
Ron Milus,2013,Chargers,Position,Secondary Coach,5,,,,,
Mike McCoy,2014,Chargers,Head Coach,Head Coach,10,,,,,
Frank Reich,2014,Chargers,Coordinator,Offensive Coordinator,7.5,,,,,
John Pagano,2014,Chargers,Coordinator,Defensive Coordinator,7.5,,,,,
Kevin Spencer,2014,Chargers,Coordinator,Special Teams Coordinator,7.5,,,,,
Nick Sirianni,2014,Chargers,Position,Quarterbacks Coach,5,,,,,
Fred Graves,2014,Chargers,Position,Wide Receivers Coach,5,,,,,
Joe D'Alessandris,2014,Chargers,Position,Offensive Line Coach,5,,,,,
Ollie Wilson,2014,Chargers,Position,Running Backs Coach,5,,,,,
Pete Metzelaars,2014,Chargers,Position,Tight Ends Coach,5,,,,,
Don Johnson,2014,Chargers,Position,Defensive Line Coach,5,,,,,
Joe Barry,2014,Chargers,Position,Linebackers Coach,5,,,,,
Ron Milus,2014,Chargers,Position,Secondary Coach,5,,,,,
Steve Spagnuolo,2010,Rams,Head Coach,Head Coach,10,,,,,
Pat Shurmur,2010,Rams,Coordinator,Offensive Coordinator,7.5,,,,,
Ken Flajole,2010,Rams,Coordinator,Defensive Coordinator,7.5,,,,,
Tom McMahon,2010,Rams,Coordinator,Special Teams Coordinator,7.5,,,,,
Richard Curl,2010,Rams,Position,Quarterbacks Coach,5,,,1,,
Nolan Cromwell,2010,Rams,Position,Wide Receivers Coach,5,,,,,
Steve Loney,2010,Rams,Position,Offensive Line Coach,5,,,,,
Sylvester Croom,2010,Rams,Position,Running Backs Coach,5,,,,,
Frank Leonard,2010,Rams,Position,Tight Ends Coach,5,,,,,
Brendan Daly,2010,Rams,Position,Defensive Line Coach,5,,,,,
Paul Ferraro,2010,Rams,Position,Linebackers Coach,5,,,,,
Clayton Lopez,2010,Rams,Position,Cornerbacks Coach,5,,,,,
Steve Spagnuolo,2011,Rams,Head Coach,Head Coach,10,,,,,
Josh McDaniels,2011,Rams,Coordinator,Offensive Coordinator,7.5,,,,,
Ken Flajole,2011,Rams,Coordinator,Defensive Coordinator,7.5,,,,,
Tom McMahon,2011,Rams,Coordinator,Special Teams Coordinator,7.5,,,,,
Nolan Cromwell,2011,Rams,Position,Wide Receivers Coach,5,,,,,
Steve Loney,2011,Rams,Position,Offensive Line Coach,5,,,,,
Sylvester Croom,2011,Rams,Position,Running Backs Coach,5,,,,,
Frank Leonard,2011,Rams,Position,Tight Ends Coach,5,,,,,
Brendan Daly,2011,Rams,Position,Defensive Line Coach,5,,,,,
Paul Ferraro,2011,Rams,Position,Linebackers Coach,5,,,,,
Clayton Lopez,2011,Rams,Position,Cornerbacks Coach,5,,,,,
Jeff Fisher,2012,Rams,Head Coach,Head Coach,10,,,,,
Dave McGinnis,2012,Rams,Coordinator,Assistant Head Coach,7.5,,,,,
Brian Schottenheimer,2012,Rams,Coordinator,Offensive Coordinator,7.5,,,,,
Blake Williams,2012,Rams,Coordinator,Defensive Coordinator,7.5,,,,,
John Fassel,2012,Rams,Coordinator,Special Teams Coordinator,7.5,,,,,
Frank Cignetti Jr.,2012,Rams,Position,Quarterbacks Coach,5,,,,,
Ray Sherman,2012,Rams,Position,Wide Receivers Coach,5,,,,,
Paul T. Boudreau,2012,Rams,Position,Offensive Line Coach,5,,,,,
Ben Sirmans,2012,Rams,Position,Running Backs Coach,5,,,,,
Rob Boras,2012,Rams,Position,Tight Ends Coach,5,,,,,
Mike Waufle,2012,Rams,Position,Defensive Line Coach,5,,,,,
Chuck Cecil,2012,Rams,Position,Secondary Coach,5,,,,,
Jeff Fisher,2013,Rams,Head Coach,Head Coach,10,,,,,
Dave McGinnis,2013,Rams,Coordinator,Assistant Head Coach,7.5,,,,,
Brian Schottenheimer,2013,Rams,Coordinator,Offensive Coordinator,7.5,,,,,
Tim Walton,2013,Rams,Coordinator,Defensive Coordinator,7.5,,,,,
John Fassel,2013,Rams,Coordinator,Special Teams Coordinator,7.5,,,,,
Frank Cignetti Jr.,2013,Rams,Position,Quarterbacks Coach,5,,,,,
Ray Sherman,2013,Rams,Position,Wide Receivers Coach,5,,,,,
Paul T. Boudreau,2013,Rams,Position,Offensive Line Coach,5,,,,,
Ben Sirmans,2013,Rams,Position,Running Backs Coach,5,,,,,
Rob Boras,2013,Rams,Position,Tight Ends Coach,5,,,,,
Mike Waufle,2013,Rams,Position,Defensive Line Coach,5,,,,,
Frank Bush,2013,Rams,Position,Linebackers Coach,5,,,,,
Chuck Cecil,2013,Rams,Position,Secondary Coach,5,,,,,
Jeff Fisher,2014,Rams,Head Coach,Head Coach,10,,,,,
Dave McGinnis,2014,Rams,Coordinator,Assistant Head Coach,7.5,,,,,
Brian Schottenheimer,2014,Rams,Coordinator,Offensive Coordinator,7.5,,,,,
Gregg Williams,2014,Rams,Coordinator,Defensive Coordinator,7.5,,,,,
John Fassel,2014,Rams,Coordinator,Special Teams Coordinator,7.5,,,,,
Frank Cignetti Jr.,2014,Rams,Position,Quarterbacks Coach,5,,,,,
Ray Sherman,2014,Rams,Position,Wide Receivers Coach,5,,,,,
Paul T. Boudreau,2014,Rams,Position,Offensive Line Coach,5,,,,,
Ben Sirmans,2014,Rams,Position,Running Backs Coach,5,,,,,
Rob Boras,2014,Rams,Position,Tight Ends Coach,5,,,,,
Mike Waufle,2014,Rams,Position,Defensive Line Coach,5,,,,,
Frank Bush,2014,Rams,Position,Linebackers Coach,5,,,,,
Chuck Cecil,2014,Rams,Position,Secondary Coach,5,,,,,
Tony Sparano,2010,Dolphins,Head Coach,Head Coach,10,,,,,
Dan Henning,2010,Dolphins,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Nolan,2010,Dolphins,Coordinator,Defensive Coordinator,7.5,,,,,
John Bonamego,2010,Dolphins,Coordinator,Special Teams Coordinator,7.5,,,,,
David Lee,2010,Dolphins,Position,Quarterbacks Coach,5,,,,,
Karl Dorrell,2010,Dolphins,Position,Wide Receivers Coach,5,,,,,
Dave DeGuglielmo,2010,Dolphins,Position,Offensive Line Coach,5,,,,,
James Saxon,2010,Dolphins,Position,Running Backs Coach,5,,,,,
George DeLeone,2010,Dolphins,Position,Tight Ends Coach,5,,,,,
Steve Bush,2010,Dolphins,Position,Offensive Quality Control Coach,5,,,,,
Kacy Rodgers,2010,Dolphins,Position,Defensive Line Coach,5,,,,,
Bill Sheridan,2010,Dolphins,Position,Linebackers Coach,5,,,,,
Todd Bowles,2010,Dolphins,Position,Secondary Coach,5,,,1,,
David Corrao,2010,Dolphins,Position,Defensive Quality Control Coach,5,,,,,
Tony Sparano,2011,Dolphins,Head Coach,Head Coach,10,,,,,
Brian Daboll,2011,Dolphins,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Nolan,2011,Dolphins,Coordinator,Defensive Coordinator,7.5,,,,,
Darren Rizzi,2011,Dolphins,Coordinator,Special Teams Coordinator,7.5,,,,,
Karl Dorrell,2011,Dolphins,Position,Quarterbacks Coach,5,,,,,
Steve Bush,2011,Dolphins,Position,Wide Receivers Coach,5,,,,,
Dave DeGuglielmo,2011,Dolphins,Position,Offensive Line Coach,5,,,,,
Jeff Nixon,2011,Dolphins,Position,Running Backs Coach,5,,,,,
Dan Campbell,2011,Dolphins,Position,Tight Ends Coach,5,,,,,
Tony Sparano Jr.,2011,Dolphins,Position,Offensive Quality Control Coach,5,1,,,,
Kacy Rodgers,2011,Dolphins,Position,Defensive Line Coach,5,,,,,
Bill Sheridan,2011,Dolphins,Position,Linebackers Coach,5,,,,,
Todd Bowles,2011,Dolphins,Position,Secondary Coach,5,,1,1,1,
David Corrao,2011,Dolphins,Position,Defensive Quality Control Coach,5,,,,,
Joe Philbin,2012,Dolphins,Head Coach,Head Coach,10,,,,,
Mike Sherman,2012,Dolphins,Coordinator,Offensive Coordinator,7.5,,,,,
Kevin Coyle,2012,Dolphins,Coordinator,Defensive Coordinator,7.5,,,,,
Darren Rizzi,2012,Dolphins,Coordinator,Special Teams Coordinator,7.5,,,,,
Ken O'Keefe,2012,Dolphins,Position,Wide Receivers Coach,5,,,,,
Jim Turner,2012,Dolphins,Position,Offensive Line Coach,5,,,,,
Jeff Nixon,2012,Dolphins,Position,Running Backs Coach,5,,,,,
Dan Campbell,2012,Dolphins,Position,Tight Ends Coach,5,,,,,
Kacy Rodgers,2012,Dolphins,Position,Defensive Line Coach,5,,,,,
George Edwards,2012,Dolphins,Position,Linebackers Coach,5,,,,,
Lou Anarumo,2012,Dolphins,Position,Defensive Backs Coach,5,,,,,
Joe Philbin,2013,Dolphins,Head Coach,Head Coach,10,,,,,
Mike Sherman,2013,Dolphins,Coordinator,Offensive Coordinator,7.5,,,,,
Kevin Coyle,2013,Dolphins,Coordinator,Defensive Coordinator,7.5,,,,,
Darren Rizzi,2013,Dolphins,Coordinator,Special Teams Coordinator,7.5,,,,,
Zac Taylor,2013,Dolphins,Position,Quarterbacks Coach,5,,,,,
Ken O'Keefe,2013,Dolphins,Position,Wide Receivers Coach,5,,,,,
Jim Turner,2013,Dolphins,Position,Offensive Line Coach,5,,,,,
Jeff Nixon,2013,Dolphins,Position,Running Backs Coach,5,,,,,
Dan Campbell,2013,Dolphins,Position,Tight Ends Coach,5,,,,,
Kacy Rodgers,2013,Dolphins,Position,Defensive Line Coach,5,,,,,
George Edwards,2013,Dolphins,Position,Linebackers Coach,5,,,,,
Lou Anarumo,2013,Dolphins,Position,Defensive Backs Coach,5,,,,,
Joe Philbin,2014,Dolphins,Head Coach,Head Coach,10,,,,,
Bill Lazor,2014,Dolphins,Coordinator,Offensive Coordinator,7.5,,,,,
Kevin Coyle,2014,Dolphins,Coordinator,Defensive Coordinator,7.5,,,,,
Darren Rizzi,2014,Dolphins,Coordinator,Special Teams Coordinator,7.5,,,,,
Zac Taylor,2014,Dolphins,Position,Quarterbacks Coach,5,,,,,
Ken O'Keefe,2014,Dolphins,Position,Wide Receivers Coach,5,,,,,
John Benton,2014,Dolphins,Position,Offensive Line Coach,5,,,,,
Jeff Nixon,2014,Dolphins,Position,Running Backs Coach,5,,,,,
Dan Campbell,2014,Dolphins,Position,Tight Ends Coach,5,,,,,
Kacy Rodgers,2014,Dolphins,Position,Defensive Line Coach,5,,,,,
Mark Duffner,2014,Dolphins,Position,Linebackers Coach,5,,,,,
Lou Anarumo,2014,Dolphins,Position,Defensive Backs Coach,5,,,,,
Brad Childress,2010,Vikings,Head Coach,Head Coach,10,1,,,,
Darrell Bevell,2010,Vikings,Coordinator,Offensive Coordinator,7.5,,,,,
Leslie Frazier,2010,Vikings,Coordinator,Defensive Coordinator,7.5,,1,,1,
Brian Murphy,2010,Vikings,Coordinator,Special Teams Coordinator,7.5,,,,,
Kevin Rogers,2010,Vikings,Position,Quarterbacks Coach,5,,,,,
George Stewart,2010,Vikings,Position,Wide Receivers Coach,5,,,,,
Pat Morris,2010,Vikings,Position,Offensive Line Coach,5,,,,,
Eric Bieniemy,2010,Vikings,Position,Running Backs Coach,5,,,1,,
Jimmie Olden Johnson Jr.,2010,Vikings,Position,Tight Ends Coach,5,,,,,
Karl Dunbar,2010,Vikings,Position,Defensive Line Coach,5,,,,,
Ryan Silverfield,2010,Vikings,Position,Defensive Line Coach,5,,,,,
Fred Pagac,2010,Vikings,Position,Linebackers Coach,5,,1,,,1
Joe Woods,2010,Vikings,Position,Defensive Backs Coach,5,,,,,
Leslie Frazier,2011,Vikings,Head Coach,Head Coach,10,,,,,
Bill Musgrave,2011,Vikings,Coordinator,Offensive Coordinator,7.5,,,,,
Fred Pagac,2011,Vikings,Coordinator,Defensive Coordinator,7.5,,,,,
Mike Priefer,2011,Vikings,Coordinator,Special Teams Coordinator,7.5,,,,,
Craig Johnson,2011,Vikings,Position,Quarterbacks Coach,5,,,,,
George Stewart,2011,Vikings,Position,Wide Receivers Coach,5,,,,,
Jeff Davidson,2011,Vikings,Position,Offensive Line Coach,5,,,,,
James Saxon,2011,Vikings,Position,Running Backs Coach,5,,,,,
Jimmie Olden Johnson Jr.,2011,Vikings,Position,Tight Ends Coach,5,,,,,
Karl Dunbar,2011,Vikings,Position,Defensive Line Coach,5,,,,,
Mike Singletary,2011,Vikings,Position,Linebackers Coach,5,,,,,
Joe Woods,2011,Vikings,Position,Defensive Backs Coach,5,,,,,
Leslie Frazier,2012,Vikings,Head Coach,Head Coach,10,,,,,
Bill Musgrave,2012,Vikings,Coordinator,Offensive Coordinator,7.5,,,,,
Alan Williams,2012,Vikings,Coordinator,Defensive Coordinator,7.5,,,,,
Mike Priefer,2012,Vikings,Coordinator,Special Teams Coordinator,7.5,,,,,
Craig Johnson,2012,Vikings,Position,Quarterbacks Coach,5,,,,,
George Stewart,2012,Vikings,Position,Wide Receivers Coach,5,,,,,
Jeff Davidson,2012,Vikings,Position,Offensive Line Coach,5,,,,,
James Saxon,2012,Vikings,Position,Running Backs Coach,5,,,,,
Jimmie Olden Johnson Jr.,2012,Vikings,Position,Tight Ends Coach,5,,,,,
Brendan Daly,2012,Vikings,Position,Defensive Line Coach,5,,,,,
Mike Singletary,2012,Vikings,Position,Linebackers Coach,5,,,,,
Fred Pagac,2012,Vikings,Position,Linebackers Coach,5,,,,,
Joe Woods,2012,Vikings,Position,Defensive Backs Coach,5,,,,,
Leslie Frazier,2013,Vikings,Head Coach,Head Coach,10,,,,,
Bill Musgrave,2013,Vikings,Coordinator,Offensive Coordinator,7.5,,,,,
Alan Williams,2013,Vikings,Coordinator,Defensive Coordinator,7.5,,,,,
Mike Priefer,2013,Vikings,Coordinator,Special Teams Coordinator,7.5,,,,,
Craig Johnson,2013,Vikings,Position,Quarterbacks Coach,5,,,,,
George Stewart,2013,Vikings,Position,Wide Receivers Coach,5,,,,,
Jeff Davidson,2013,Vikings,Position,Offensive Line Coach,5,,,,,
James Saxon,2013,Vikings,Position,Running Backs Coach,5,,,,,
Jimmie Olden Johnson Jr.,2013,Vikings,Position,Tight Ends Coach,5,,,,,
Ryan Silverfield,2013,Vikings,Position,Offensive Quality Control Coach,5,,,,,
Klint Kubiak,2013,Vikings,Position,Offensive Quality Control Coach,5,,,,,
Brendan Daly,2013,Vikings,Position,Defensive Line Coach,5,,,,,
Mike Singletary,2013,Vikings,Position,Linebackers Coach,5,,,,,
Fred Pagac,2013,Vikings,Position,Linebackers Coach,5,,,,,
Joe Woods,2013,Vikings,Position,Defensive Backs Coach,5,,,,,
Leslie Frazier,2014,Vikings,Head Coach,Head Coach,10,,,,,
Bill Musgrave,2014,Vikings,Coordinator,Offensive Coordinator,7.5,,,,,
Alan Williams,2014,Vikings,Coordinator,Defensive Coordinator,7.5,,,,,
Mike Priefer,2014,Vikings,Coordinator,Special Teams Coordinator,7.5,,,,,
Craig Johnson,2014,Vikings,Position,Quarterbacks Coach,5,,,,,
George Stewart,2014,Vikings,Position,Wide Receivers Coach,5,,,,,
Jeff Davidson,2014,Vikings,Position,Offensive Line Coach,5,,,,,
James Saxon,2014,Vikings,Position,Running Backs Coach,5,,,,,
Jimmie Olden Johnson Jr.,2014,Vikings,Position,Tight Ends Coach,5,,,,,
Ryan Silverfield,2014,Vikings,Position,Offensive Quality Control Coach,5,,,,,
Klint Kubiak,2014,Vikings,Position,Offensive Quality Control Coach,5,,,,,
Brendan Daly,2014,Vikings,Position,Defensive Line Coach,5,,,,,
Mike Singletary,2014,Vikings,Position,Linebackers Coach,5,,,,,
Fred Pagac,2014,Vikings,Position,Linebackers Coach,5,,,,,
Joe Woods,2014,Vikings,Position,Defensive Backs Coach,5,,,,,
Bill Belichick,2010,Patriots,Head Coach,Head Coach,10,,,,,
Bill O'Brien,2010,Patriots,Position,Quarterbacks Coach,5,,,,,
Chad O'Shea,2010,Patriots,Position,Wide Receivers Coach,5,,,,,
Dante Scarnecchia,2010,Patriots,Position,Offensive Line Coach,5,,,1,,
Ivan Fears,2010,Patriots,Position,Running Backs Coach,5,,,,,
Pepper Johnson,2010,Patriots,Position,Defensive Line Coach,5,,,,,
Matt Patricia,2010,Patriots,Position,Linebackers Coach,5,,,,,
Josh Boyer,2010,Patriots,Position,Defensive Backs Coach,5,,,,,
Corwin Brown,2010,Patriots,Position,Defensive Backs Coach,5,,,,,
Bill Belichick,2011,Patriots,Head Coach,Head Coach,10,,,,,
Bill O'Brien,2011,Patriots,Coordinator,Offensive Coordinator,7.5,,,,,
Chad O'Shea,2011,Patriots,Position,Wide Receivers Coach,5,,,,,
Dante Scarnecchia,2011,Patriots,Position,Offensive Line Coach,5,,,1,,
Ivan Fears,2011,Patriots,Position,Running Backs Coach,5,,,,,
Brian Ferentz,2011,Patriots,Position,Tight Ends Coach,5,,,,,
Pepper Johnson,2011,Patriots,Position,Defensive Line Coach,5,,,,,
Patrick Graham,2011,Patriots,Position,Linebackers Coach,5,,,,,
Matt Patricia,2011,Patriots,Position,Safeties Coach,5,,,,,
Josh Boyer,2011,Patriots,Position,Defensive Backs Coach,5,,,,,
Bill Belichick,2012,Patriots,Head Coach,Head Coach,10,,,,,
Josh McDaniels,2012,Patriots,Coordinator,Offensive Coordinator,7.5,,,,,
Matt Patricia,2012,Patriots,Coordinator,Defensive Coordinator,7.5,,,,,
Chad O'Shea,2012,Patriots,Position,Wide Receivers Coach,5,,,,,
Dante Scarnecchia,2012,Patriots,Position,Offensive Line Coach,5,,,1,,
Ivan Fears,2012,Patriots,Position,Running Backs Coach,5,,,,,
George Godsey,2012,Patriots,Position,Tight Ends Coach,5,,,,,
Patrick Graham,2012,Patriots,Position,Defensive Line Coach,5,,,,,
Pepper Johnson,2012,Patriots,Position,Linebackers Coach,5,,,,,
Brian Flores,2012,Patriots,Position,Safeties Coach,5,,,,,
Josh Boyer,2012,Patriots,Position,Cornerbacks Coach,5,,,,,
Bill Belichick,2013,Patriots,Head Coach,Head Coach,10,,,,,
